"portcode","name","unctad","netpascode","ets","ishistorical","isactive","additionaldata","rankorder"
"MGMNJ","MANANJARY","MGMNJ",NULL,NULL,False,True,NULL,0
"MGMANA","MANANTENINA",NULL,NULL,NULL,False,True,NULL,0
"MGMNJ","MANANUARY","MGMNJ",NULL,NULL,False,True,NULL,0
"VEMANE","MANARE",NULL,NULL,NULL,False,True,NULL,0
"USPME","MANATEE","USPME",NULL,NULL,False,True,NULL,1
"CUMNT","MANATI","CUMNT",NULL,NULL,False,True,NULL,0
"COMAU","MANAURE","COMAU",NULL,NULL,False,True,NULL,0
"BRMAO","Manaus","BRMAO",NULL,NULL,False,True,NULL,0
"GBMNC","MANCHESTER","GBMNC",NULL,NULL,False,True,NULL,0
"GBMNC","MANCHESTER (UK)","GBMNC",NULL,NULL,False,True,NULL,63
"USMCR","MANCHESTER (US)","USMCR",NULL,NULL,False,True,NULL,0
"NOMAN","MANDAL","NOMAN",NULL,NULL,False,True,NULL,111
"MMMANY","MANDALAY",NULL,NULL,NULL,False,True,NULL,0
"VUMNDD","MANDIODO","VUMND",NULL,NULL,False,True,NULL,0
"INMDV","MANDVI","INMDV",NULL,NULL,False,True,NULL,0
"ITMFR","Manfredonia","ITMFR",NULL,NULL,False,True,NULL,0
"NZMAIA","MANGAIA IS.",NULL,NULL,NULL,False,True,NULL,0
"ROMAG","MANGALIA","ROMAG",NULL,NULL,False,True,NULL,10
"INIXE","MANGALORE","INIXE",NULL,NULL,False,True,NULL,33
"INIXE","MANGALORE (NEW)","INIXE",NULL,NULL,False,True,NULL,0
"FRMGRV","MANGAREVA","FRMGR",NULL,NULL,False,True,NULL,0
"IDMAN","MANGGAR","IDMAN",NULL,NULL,False,True,NULL,0
"IDMGB","MANGGIS","IDMGB",NULL,NULL,False,True,NULL,2
"IDMGB","MANGGIS BAY","IDMGB",NULL,NULL,False,True,NULL,0
"IDMKJ","MANGKAJANG","IDMKJ",NULL,NULL,False,True,NULL,0
"IDMATL","MANGKASA TERMINAL",NULL,NULL,NULL,False,True,NULL,0
"GPFLAS","MANGLES DE FOLLE ANSE","GPFLA",NULL,NULL,False,True,NULL,0
"IDMAIS","MANGOLE IS.",NULL,NULL,NULL,False,True,NULL,0
"NZMANI","MANGONUI",NULL,NULL,NULL,False,True,NULL,0
"INMGR","MANGROL","INMGR",NULL,NULL,False,True,NULL,0
"IDMANG","MANGSANG",NULL,NULL,NULL,False,True,NULL,0
"SAMANH","MANIFAH",NULL,NULL,NULL,False,True,NULL,2
"FRMANI","MANIHI",NULL,NULL,NULL,False,True,NULL,0
"NZMAIK","MANIHIKI IS.",NULL,NULL,NULL,False,True,NULL,0
"DKSUKN","MANIITSOQ",NULL,NULL,NULL,False,True,NULL,0
"PHMNL","MANILA","PHMNL",NULL,NULL,False,True,NULL,162
"USMBL","MANISTEE","USMBL",NULL,NULL,False,True,NULL,0
"USMANE","MANISTIQUE",NULL,NULL,NULL,False,True,NULL,0
"USMAIS","MANITOU IS.",NULL,NULL,NULL,False,True,NULL,0
"USMAII","MANITOUS IS.",NULL,NULL,NULL,False,True,NULL,0
"CAMANG","MANITOWANING",NULL,NULL,NULL,False,True,NULL,0
"USMTW","MANITOWOC","USMTW",NULL,NULL,False,True,NULL,0
"MYBLKT","MANJUNG","MYBLK",NULL,NULL,False,True,NULL,0
"IDMANA","MANNA",NULL,NULL,NULL,False,True,NULL,0
"LKMAN","MANNAR","LKMAN",NULL,NULL,False,True,NULL,0
"DEMHG","MANNHEIM","DEMHG",NULL,NULL,False,True,NULL,0
"GBMANE","MANNINGTREE",NULL,NULL,NULL,False,True,NULL,0
"CMMANA","MANOKA",NULL,NULL,NULL,False,True,NULL,0
"IDMKW","MANOKWARI","IDMKW",NULL,NULL,False,True,NULL,8
"MGMOB","MANOMBO","MGMOB",NULL,NULL,False,True,NULL,0
"MGMOB","MANOMBO ATSIMO","MGMOB",NULL,NULL,False,True,NULL,0
"IDMANG","MANSANG","IDMAN",NULL,NULL,False,True,NULL,0
"AUMANE","MANSE",NULL,NULL,NULL,False,True,NULL,0
"PHMSC","MANSINLOC","PHMSC",NULL,NULL,False,True,NULL,0
"ECMEC","MANTA","ECMEC",NULL,NULL,False,True,NULL,32
"FRMALJ","MANTES",NULL,NULL,NULL,False,True,NULL,0
"FRMAN","MANTES LA JOLIE","FRMAN",NULL,NULL,False,True,NULL,0
"FIMTL","MANTYLUOTO","FIMTL",NULL,NULL,False,True,NULL,87
"USMAIN","MANUA ISLAND",NULL,NULL,NULL,False,True,NULL,0
"IDMNRN","MANURAN","IDMNR",NULL,NULL,False,True,NULL,0
NULL,"Manzanillo",NULL,NULL,NULL,False,True,NULL,0
"CUMZO","MANZANILLO (CU)","CUMZO",NULL,NULL,False,True,NULL,7
"CUMZO","MANZANILLO (CUB)","CUMZO",NULL,NULL,False,True,NULL,0
"DOMAN","MANZANILLO (DO)","DOMAN",NULL,NULL,False,True,NULL,18
"DOMAN","MANZANILLO (DOM)","DOMAN",NULL,NULL,False,True,NULL,0
"MXZLO","MANZANILLO (MEX)","MXZLO",NULL,NULL,False,True,NULL,0
"MXZLO","MANZANILLO (MX)","MXZLO",NULL,NULL,False,True,NULL,186
"PAMIT","MANZANILLO (PA)","PAMIT",NULL,NULL,False,True,NULL,41
"TNMBA","MANZIL BU RUQAYBAH","TNMBA",NULL,NULL,False,True,NULL,0
"CNMAOG","MAOMING",NULL,NULL,NULL,False,True,NULL,9
"THMTP","MAP TA PHUT","THMTP",NULL,NULL,False,True,NULL,205
"THMAT","MAP TA PUT","THMAT",NULL,NULL,False,True,NULL,0
"VEMAPE","MAPIRE",NULL,NULL,NULL,False,True,NULL,0
"MZMPN","MAPUTO","MZMPN",NULL,NULL,False,True,NULL,129
"SAMAQA","MAQNA",NULL,NULL,NULL,False,True,NULL,0
"ARMDQ","MAR DEL PLATA","ARMDQ",NULL,NULL,False,True,NULL,0
"BRMARA","MARABA",NULL,NULL,NULL,False,True,NULL,0
"VEMAR","MARACAIBO","VEMAR",NULL,NULL,False,True,NULL,88
"VEMABY","MARACAIBO BAY",NULL,NULL,NULL,False,True,NULL,2
"BRMAID","MARAJO ISLAND",NULL,NULL,NULL,False,True,NULL,0
"KIMARI","MARAKAI",NULL,NULL,NULL,False,True,NULL,0
"FRMRN","MARANS","FRMRN",NULL,NULL,False,True,NULL,0
"USMTH","MARATHON","USMTH",NULL,NULL,False,True,NULL,0
"GRMARS","MARATHOUPOLIS",NULL,NULL,NULL,False,True,NULL,0
"ESMARA","MARBELLA",NULL,NULL,NULL,False,True,NULL,0
"USMARD","MARBLEHEAD",NULL,NULL,NULL,False,True,NULL,0
"GBMAW","MARCHWOOD","GBMAW",NULL,NULL,False,True,NULL,4
"USMAH","Marcus Hook","USMAH",NULL,NULL,False,True,NULL,0
"TRMARA","MARDAS",NULL,NULL,NULL,False,True,NULL,5
"FRMARS","MARENNES",NULL,NULL,NULL,False,True,NULL,0
"AUMABY","MARGARET BAY",NULL,NULL,NULL,False,True,NULL,0
"GBMGT","MARGATE","GBMGT",NULL,NULL,False,True,NULL,18
"ITPMA","MARGHERA","ITPMA",NULL,NULL,False,True,NULL,6
"GBMARE","MARGHERAMORNE",NULL,NULL,NULL,False,True,NULL,0
"PHMAMO","MARGOSATUBIG, MINDANAO",NULL,NULL,NULL,False,True,NULL,0
"DKMRR","MARIAGER","DKMRR",NULL,NULL,False,True,NULL,55
"DKMAFD","MARIAGER FJORD",NULL,NULL,NULL,False,True,NULL,0
"PHMARC","MARIBOJOC",NULL,NULL,NULL,False,True,NULL,0
"CAMART","MARICOURT",NULL,NULL,NULL,False,True,NULL,0
"FIMHQ","MARIEHAMN","FIMHQ",NULL,NULL,False,True,NULL,35
"CUMAR","MARIEL","CUMAR",NULL,NULL,False,True,NULL,41
"SEMAD","MARIESTAD","SEMAD",NULL,NULL,False,True,NULL,0
"FRMART","MARIGOT",NULL,NULL,NULL,False,True,NULL,2
"ESMAR","Marin","ESMAR",NULL,NULL,False,True,NULL,0
"SGBNBC","MARINA BAY CRUISE CENTRE","SGBNB",NULL,NULL,False,True,NULL,0
"ITMDC","MARINA DE CARRERA","ITMDC",NULL,NULL,False,True,NULL,80
"USMADR","MARINA DEL REY",NULL,NULL,NULL,False,True,NULL,0
"ITMDC","Marina Di Carrara","ITMDC",NULL,NULL,False,True,NULL,0
"ITMRDL","MARINA DI LOANO","ITMRD",NULL,NULL,False,True,NULL,0
"ITMGE","MARINA GRANDE","ITMGE",NULL,NULL,False,True,NULL,0
"HRMRML","MARINA MILNA",NULL,NULL,NULL,False,True,NULL,0
"ITMRVI","MARINA VILLA IGIEA","ITMRV",NULL,NULL,False,True,NULL,0
"HRVLSK","MARINA VLASKA","HRVLS",NULL,NULL,False,True,NULL,0
"USMOY","MARINETTE","USMOY",NULL,NULL,False,True,NULL,5
"USMARN","MARION",NULL,NULL,NULL,False,True,NULL,0
"VEMARA","MARIPA",NULL,NULL,NULL,False,True,NULL,0
"IDMARA","MARISA",NULL,NULL,NULL,False,True,NULL,0
"SUMAR","MARIUPOL","SUMAR",NULL,NULL,False,True,NULL,24
"PHMVS","MARIVELES","PHMVS",NULL,NULL,False,True,NULL,22
"SOMER","MARKA","SOMER",NULL,NULL,False,True,NULL,0
"INMAR","MARMAGAO",NULL,NULL,NULL,False,True,NULL,10
"TRMREL","MARMARA ERIGLISI",NULL,NULL,NULL,False,True,NULL,25
"TRMRA","MARMARA IS.","TRMRA",NULL,NULL,False,True,NULL,26
"GRMRM","MARMARI","GRMRM",NULL,NULL,False,True,NULL,0
"TRMRM","MARMARICE","TRMRM",NULL,NULL,False,True,NULL,0
"TRMRM","MARMARIS","TRMRM",NULL,NULL,False,True,NULL,4
"GRMARN","MARMARON",NULL,NULL,NULL,False,True,NULL,0
"DKMARK","MARMORILIK",NULL,NULL,NULL,False,True,NULL,0
"INMRM","MARMUGAO BAY","INMRM",NULL,NULL,False,True,NULL,0
"MGWMN","MAROANTSETRA","MGWMN",NULL,NULL,False,True,NULL,0
"INMLI","MAROLI","INMLI",NULL,NULL,False,True,NULL,0
"MGMARA","MAROMANDIA",NULL,NULL,NULL,False,True,NULL,0
"USMAKS","MARQUESAS KEYS",NULL,NULL,NULL,False,True,NULL,0
"USMQT","MARQUETTE","USMQT",NULL,NULL,False,True,NULL,0
"USMAR","Marrero","USMAR",NULL,NULL,False,True,NULL,0
